availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft,price_category,estimated_monthly_rent,annual_rent,rental_yield,future_price_5yr,roi_5yr,sqft_scaled,price_sqft_scaled,investment_score
Ready To Move,Kalena Agrahara,800.0,2.0,2.0,30.0,2,3750.0,Budget,15000.0,180000.0,6.0,40.14676732800001,33.82255776000003,0.009620564919572076,0.019762290998735454,0.39786742255224905
Ready To Move,other,4750.0,2.0,1.0,120.0,4,2526.315789473684,Premium,60000.0,720000.0,6.0,160.58706931200004,33.82255776000003,0.0856230277841915,0.01281754040864785,0.4462468005070558
Ready To Move,Hormavu,1500.0,3.0,3.0,70.0,3,4666.666666666667,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.023089355806972987,0.024964631046507174,0.403867761065581
Ready To Move,Bannerghatta Road,1880.0,3.0,2.0,95.0,3,5053.191489361702,Mid-Range,47500.0,570000.0,6.0,127.13142987200003,33.822557760000024,0.030400985145847766,0.02715826766239544,0.40737728402255047
Ready To Move,Electronic City,1440.0,2.0,2.0,55.0,3,3819.4444444444443,Mid-Range,27500.0,330000.0,6.0,73.60240676800001,33.82255776000002,0.021934888016624337,0.02015640766902119,0.4050983697423662
Ready To Move,Akshaya Nagar,1575.0,3.0,,90.0,3,5714.285714285715,Mid-Range,45000.0,540000.0,6.0,120.44030198400003,33.82255776000003,0.024532440544908798,0.030910162529674847,0.40235539931507536
Ready To Move,other,1630.0,2.0,2.0,97.78,3,5998.773006134969,Mid-Range,48890.0,586680.0,6.0,130.85169697772804,33.82255776000004,0.025590702686061725,0.03252470758218703,0.40234453857876223
Ready To Move,Yelahanka,1180.0,3.0,1.0,55.0,3,4661.016949152542,Mid-Range,27500.0,330000.0,6.0,73.60240676800001,33.82255776000002,0.016932194258446855,0.02493256731739918,0.4001862896281085
Ready To Move,other,1090.0,2.0,1.0,36.0,2,3302.7522935779816,Budget,18000.0,216000.0,6.0,48.176120793600006,33.82255776000002,0.015200492572923881,0.017224035012124567,0.4022306815389045
Ready To Move,NGR Layout,1020.0,2.0,2.0,48.45,2,4750.0,Budget,24225.0,290700.0,6.0,64.83702923472002,33.82255776000003,0.013853613484183791,0.025437571050850056,0.3981371396701703
Ready To Move,other,2425.0,4.0,3.0,173.0,4,7134.020618556701,Premium,86500.0,1038000.0,6.0,231.51302492480005,33.822557760000024,0.040887400908181326,0.03896755571117481,0.40894541826043884
18-Mar,Varthur,1097.0,2.0,1.0,33.82,2,3082.9535095715587,Budget,16910.0,202920.0,6.0,45.25878903443201,33.82255776000004,0.01533518048179789,0.01597661535777387,0.4028104621459692
Ready To Move,Raja Rajeshwari Nagar,1070.0,2.0,1.0,50.0,2,4672.897196261682,Budget,25000.0,300000.0,6.0,66.91127888000001,33.822557760000024,0.014815669976140998,0.024999991046831874,0.39888940556695185
Ready To Move,Kumaraswami Layout,1000.0,2.0,1.0,58.0,2,5800.0,Mid-Range,29000.0,348000.0,6.0,77.61708350080002,33.82255776000004,0.013468790887400908,0.03139661510557038,0.39552262849021247
18-Apr,other,1150.0,2.0,1.0,56.0,2,4869.565217391304,Mid-Range,28000.0,336000.0,6.0,74.94063234560002,33.82255776000004,0.016354960363272532,0.02611613714403767,0.39936652136034845
Ready To Move,Frazer Town,1900.0,4.0,2.0,145.0,3,7631.578947368421,Premium,72500.0,870000.0,6.0,194.04270875200004,33.822557760000024,0.030785807742630646,0.04179133856944344,0.4017549492178011
Ready To Move,other,1141.0,2.0,2.0,49.0,2,4294.478527607362,Budget,24500.0,294000.0,6.0,65.57305330240001,33.822557760000024,0.016181790194720234,0.02285235912527024,0.40056813046672407
Ready To Move,Jigani,937.0,2.0,1.0,44.0,2,4695.837780149413,Budget,22000.0,264000.0,6.0,58.881925414400015,33.82255776000003,0.012256599707534826,0.025130185284953775,0.3973018857105394
Ready To Move,Green Glen Layout,1075.0,2.0,1.0,60.0,2,5581.395348837209,Mid-Range,30000.0,360000.0,6.0,80.29353465600002,33.82255776000003,0.014911875625336721,0.030155972489526724,0.39688473637939137
18-Feb,Panathur,1000.0,2.0,1.0,65.3,2,6530.0,Mid-Range,32650.0,391800.0,6.0,87.38613021728001,33.822557760000024,0.013468790887400908,0.03553956954361404,0.39386544671499496
Ready To Move,Kasavanhalli,1450.0,3.0,,77.41,3,5338.620689655172,Mid-Range,38705.0,464460.0,6.0,103.59204196201601,33.822557760000024,0.022127299315015777,0.02877815830911199,0.40176511626536465
Ready To Move,other,936.0,2.0,2.0,43.0,2,4594.017094017094,Budget,21500.0,258000.0,6.0,57.54369983680001,33.822557760000024,0.012237358577695683,0.0245523243760544,0.3975214853961957
Ready To Move,other,1280.0,2.0,1.0,75.0,2,5859.375,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.018856307242361273,0.03173358485866468,0.3986203504019509
Ready To Move,Babusapalaya,1050.0,2.0,3.0,45.0,2,4285.714285714285,Budget,22500.0,270000.0,6.0,60.220150992000015,33.82255776000003,0.014430847379358118,0.02280261959808256,0.39953746058838185
Ready To Move,Marathahalli,1350.0,2.0,1.0,86.0,2,6370.37037037037,Mid-Range,43000.0,516000.0,6.0,115.08739967360002,33.822557760000024,0.020203186331101363,0.034633626690850565,0.3982684611223206
Ready To Move,Mallasandra,1325.0,2.0,1.0,70.0,2,5283.018867924528,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.01972215808512276,0.02846260239938284,0.40044825389132055
18-Apr,Devanahalli,1174.0,2.0,1.0,59.0,2,5025.553662691653,Mid-Range,29500.0,354000.0,6.0,78.95530907840002,33.82255776000003,0.016816747479411993,0.027001415256011106,0.3992894823852428
Ready To Move,Hosur Road,1890.0,3.0,2.0,162.0,3,8571.42857142857,Premium,81000.0,972000.0,6.0,216.79254357120004,33.822557760000024,0.030593396444239206,0.04712524839285941,0.39950593850939975
Ready To Move,other,735.0,1.0,1.0,75.0,1,10204.081632653062,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.008369891480027706,0.05639101174325061,0.3824655301907164
Ready To Move,other,500.0,1.0,0.0,24.0,1,4800.0,Budget,12000.0,144000.0,6.0,32.11741386240001,33.822557760000024,0.0038482259678288304,0.025721335053455786,0.392020401559315
Ready To Move,Gottigere,1304.0,3.0,3.0,80.0,3,6134.9693251533745,Mid-Range,40000.0,480000.0,6.0,107.05804620800002,33.822557760000024,0.01931809435850073,0.03329765983468362,0.39827179268122703
Ready To Move,Yelahanka,1653.0,3.0,2.0,120.0,3,7259.528130671506,Premium,60000.0,720000.0,6.0,160.58706931200004,33.82255776000003,0.02603324867236204,0.039679845991070495,0.3997480108069891
Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,52.0,3,4837.209302325581,Mid-Range,26000.0,312000.0,6.0,69.58773003520001,33.822557760000024,0.014911875625336721,0.025932508264697257,0.39857412206932313
Ready To Move,7th Phase JP Nagar,1212.0,3.0,1.0,42.0,2,3465.3465346534654,Budget,21000.0,252000.0,6.0,56.20547425920001,33.822557760000024,0.01754791041329947,0.018146802865088973,0.4032700251019441
Ready To Move,other,1100.0,2.0,1.0,50.0,2,4545.454545454545,Budget,25000.0,300000.0,6.0,66.91127888000001,33.822557760000024,0.015392903871315325,0.02427671831291752,0.3995250549976222
Ready To Move,Rajaji Nagar,3436.0,6.0,3.0,500.0,4,14551.804423748545,Luxury,250000.0,3000000.0,6.0,669.1127888000001,33.82255776000002,0.06034018317555607,0.08106555617167882,0.4037778874366621
Ready To Move,other,1200.0,4.0,0.0,145.0,3,12083.333333333334,Premium,72500.0,870000.0,6.0,194.04270875200004,33.822557760000024,0.01731701685522974,0.06705629143302379,0.3835676935399283
Ready To Move,Billekahalli,1140.0,2.0,2.0,50.0,2,4385.964912280701,Budget,25000.0,300000.0,6.0,66.91127888000001,33.822557760000024,0.016162549064881092,0.023371569979246932,0.4003489014472299
Ready To Move,other,1200.0,2.0,1.0,100.0,2,8333.333333333334,Mid-Range,50000.0,600000.0,6.0,133.82255776000002,33.822557760000024,0.01731701685522974,0.04577399123759404,0.39208061361810026
Ready To Move,Kudlu Gate,1532.0,3.0,2.0,83.0,3,5417.754569190601,Mid-Range,41500.0,498000.0,6.0,111.07272294080002,33.822557760000024,0.0237050719618256,0.02922726523708585,0.40253213708226104
Ready To Move,Doddaballapur,2776.0,4.0,2.0,195.0,3,7024.495677233429,Premium,97500.0,1170000.0,6.0,260.95398763200006,33.82255776000003,0.047641037481720924,0.03834597099647382,0.41324623409044303
Ready To Move,Padmanabhanagar,1531.0,2.0,0.0,75.0,3,4898.758981058132,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.023685830831986453,0.026281819928622167,0.40369877052774306
Ready To Move,Poorna Pragna Layout,1270.0,2.0,2.0,50.79,3,3999.212598425197,Mid-Range,25395.0,304740.0,6.0,67.968477086304,33.82255776000002,0.01866389594396983,0.02117664228731362,0.4027276806514565
18-Dec,Uttarahalli,1325.0,2.0,1.0,53.0,2,4000.0,Mid-Range,26500.0,318000.0,6.0,70.92595561280001,33.82255776000002,0.01972215808512276,0.021181111011764103,0.40336085044636805
Ready To Move,other,1200.0,3.0,1.0,160.0,3,13333.333333333334,Premium,80000.0,960000.0,6.0,214.11609241600004,33.822557760000024,0.01731701685522974,0.07415039149816705,0.38073005351387107
17-Apr,Electronic City,1156.0,2.0,2.0,44.0,3,3806.2283737024222,Budget,22000.0,264000.0,6.0,58.881925414400015,33.82255776000003,0.016470407142307398,0.020081402766371655,0.4018496831788358
Ready To Move,R.T. Nagar,2000.0,4.0,2.0,320.0,4,16000.0,Luxury,160000.0,1920000.0,6.0,428.2321848320001,33.822557760000024,0.03270992072654506,0.0892844716371393,0.38391216378107135
Ready To Move,Bannerghatta Road,1260.0,2.0,2.0,70.0,2,5555.555555555556,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.01847148464557839,0.030009324426164597,0.39907916101688123
Ready To Move,Vittasandra,1934.0,2.0,0.0,90.0,2,4653.567735263702,Mid-Range,45000.0,540000.0,6.0,120.44030198400003,33.82255776000003,0.03144000615716155,0.024890290942411908,0.4089078873173322
Ready To Move,Malleshpalya,1060.0,2.0,1.0,40.0,2,3773.5849056603774,Budget,20000.0,240000.0,6.0,53.52902310400001,33.822557760000024,0.014623258677749558,0.0198961419433608,0.4008154984293055
Ready To Move,Kasavanhalli,1476.0,3.0,1.0,95.0,3,6436.314363143631,Mid-Range,47500.0,570000.0,6.0,127.13142987200003,33.822557760000024,0.022627568690833526,0.03500787731759344,0.39957339028746275
Ready To Move,Murugeshpalya,1185.0,2.0,1.0,85.0,2,7172.995780590717,Mid-Range,42500.0,510000.0,6.0,113.74917409600002,33.822557760000024,0.01702839990764258,0.039188750670794394,0.3945415396762678
Ready To Move,other,1265.0,2.0,1.0,82.0,3,6482.213438735178,Mid-Range,41000.0,492000.0,6.0,109.73449736320002,33.822557760000024,0.01856769029477411,0.035268367425708644,0.39703326720658105
18-May,other,3200.0,5.0,1.0,150.0,4,4687.5,Premium,75000.0,900000.0,6.0,200.73383664000005,33.82255776000003,0.055799276533518044,0.025082866047592894,0.42344641950107365
Ready To Move,other,1196.0,2.0,2.0,56.81,2,4750.0,Mid-Range,28405.0,340860.0,6.0,76.02459506345602,33.822557760000024,0.01724005233587316,0.025437571050850056,0.4001690029811839
Ready To Move,EPIP Zone,1280.0,2.0,1.0,69.0,2,5390.625,Mid-Range,34500.0,414000.0,6.0,92.33756485440001,33.822557760000024,0.018856307242361273,0.02907329733423597,0.39968446541172237
Ready To Move,Hulimavu,1175.0,2.0,,45.0,2,3829.7872340425533,Budget,22500.0,270000.0,6.0,60.220150992000015,33.82255776000003,0.016835988609251135,0.020215105896510557,0.4020155508069465
Ready To Move,other,1850.0,3.0,3.0,98.0,3,5297.2972972972975,Mid-Range,49000.0,588000.0,6.0,131.14610660480002,33.822557760000024,0.02982375125067344,0.028543636484777642,0.406476796156493
Ready To Move,Indira Nagar,2400.0,4.0,2.0,525.0,4,21875.0,Luxury,262500.0,3150000.0,6.0,702.5684282400001,33.822557760000024,0.04040637266220272,0.12262674194331259,0.3751931268199966
Ready To Move,Whitefield,1195.0,2.0,1.0,70.0,2,5857.740585774059,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.01722081120603402,0.03172430910021131,0.3976427630835359
Ready To Move,Ulsoor,2000.0,3.0,3.0,185.0,3,9250.0,Premium,92500.0,1110000.0,6.0,247.57173185600004,33.822557760000024,0.03270992072654506,0.05097633128536575,0.39923541992178074
Ready To Move,Hosur Road,1180.0,2.0,2.0,36.5,2,3093.2203389830506,Budget,18250.0,219000.0,6.0,48.84523358240001,33.82255776000004,0.016932194258446855,0.01603488248993137,0.4037453635590956
Ready To Move,Jakkur,1050.0,2.0,1.0,49.87,2,4749.523809523809,Budget,24935.0,299220.0,6.0,66.73730955491202,33.82255776000004,0.014430847379358118,0.02543486853653952,0.3984845610129991
18-Dec,Electronic City,1400.0,2.0,1.0,40.44,3,2888.5714285714284,Budget,20220.0,242640.0,6.0,54.11784235814401,33.82255776000003,0.02116524282305857,0.014873442610985305,0.406749768649441
17-Dec,other,2360.0,4.0,2.0,150.0,4,6355.932203389831,Premium,75000.0,900000.0,6.0,200.73383664000005,33.82255776000003,0.03963672746863695,0.034551686049796804,0.4099613620612635
Ready To Move,other,1030.0,2.0,1.0,77.25,2,7500.0,Mid-Range,38625.0,463500.0,6.0,103.37792586960002,33.822557760000024,0.014046024782575234,0.0410445911941652,0.39200977839187906
Ready To Move,other,1512.0,1.0,2.0,65.01,2,4299.603174603175,Mid-Range,32505.000000000004,390060.00000000006,6.0,86.99804479977603,33.822557760000024,0.023320249365042716,0.02288144293213971,0.40483957244616975
Ready To Move,Subramanyapura,929.0,2.0,1.0,48.0,2,5166.846071044133,Budget,24000.0,288000.0,6.0,64.23482772480001,33.822557760000024,0.012102670668821675,0.02780328924264917,0.3961402867042334
Ready To Move,Jigani,1252.0,3.0,3.0,61.0,3,4872.20447284345,Mid-Range,30500.0,366000.0,6.0,81.63176023360002,33.82255776000003,0.018317555606865234,0.026131115657857668,0.4005380871009761
Ready To Move,Green Glen Layout,1485.0,3.0,2.0,115.0,3,7744.107744107744,Premium,57500.0,690000.0,6.0,153.89594142400003,33.822557760000024,0.022800738859385824,0.042429971004866576,0.3967084549136849
Ready To Move,Electronics City Phase 1,1124.0,2.0,2.0,55.0,3,4893.238434163701,Mid-Range,27500.0,330000.0,6.0,73.60240676800001,33.82255776000002,0.015854690987454782,0.026250489278955437,0.39901261888089073
Ready To Move,TC Palaya,2400.0,6.0,3.0,370.0,6,15416.666666666666,Luxury,185000.0,2220000.0,6.0,495.1434637120001,33.822557760000024,0.04040637266220272,0.08597389160673913,0.389854266954626
Ready To Move,Indira Nagar,1407.0,3.0,1.0,120.0,3,8528.784648187633,Premium,60000.0,720000.0,6.0,160.58706931200004,33.82255776000003,0.02129993073193258,0.046883232185946214,0.39402666556478105
19-Mar,Hennur Road,1482.0,2.0,3.0,97.0,3,6545.209176788124,Mid-Range,48500.0,582000.0,6.0,129.80788102720004,33.82255776000004,0.022743015469868393,0.035625885881248764,0.3993954549294215
Ready To Move,Sector 7 HSR Layout,1163.0,2.0,1.0,98.86,2,8500.42992261393,Mid-Range,49430.0,593160.0,6.0,132.29698060153603,33.82255776000004,0.016605095051181407,0.046722311177514596,0.391274132559703
Ready To Move,Jalahalli,1570.0,3.0,2.0,140.0,3,8917.197452229299,Premium,70000.0,840000.0,6.0,187.35158086400003,33.822557760000024,0.024436234895713078,0.049087583624709774,0.3950267074875439
18-Feb,Whitefield,3480.0,4.0,,284.0,3,8160.919540229885,Luxury,142000.0,1704000.0,6.0,380.05606403840005,33.82255776000002,0.06118679288847841,0.04479549467688462,0.41879387786233324
19-Sep,Chandapura,520.0,1.0,1.0,14.04,1,2700.0,Budget,7020.0,84240.0,6.0,18.788687109504004,33.82255776000003,0.004233048564611714,0.013803246944015123,0.397018530361161
Ready To Move,other,2000.0,3.0,2.0,160.0,3,8000.0,Premium,80000.0,960000.0,6.0,214.11609241600004,33.822557760000024,0.03270992072654506,0.0438822312202225,0.40207305994783804
Ready To Move,Prithvi Layout,1352.0,2.0,2.0,75.0,2,5547.337278106509,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.020241668590779652,0.029962683400095277,0.40015992779442977
18-Apr,Electronic City,1152.0,2.0,1.0,65.0,2,5642.361111111111,Mid-Range,32500.0,390000.0,6.0,86.98466254400002,33.822557760000024,0.01639344262295082,0.030501970264021763,0.3976352774681618
20-Dec,other,1575.0,3.0,2.0,93.0,3,5904.761904761905,Mid-Range,46500.0,558000.0,6.0,124.45497871680003,33.82255776000003,0.024532440544908798,0.03199116825388715,0.4019229970253904
Ready To Move,Hegde Nagar,1965.0,4.0,2.0,125.0,3,6361.323155216285,Premium,62500.0,750000.0,6.0,167.27819720000002,33.82255776000002,0.03203648118217502,0.034582281211159395,0.4053889762248413
Ready To Move,other,1300.0,2.0,2.0,70.0,3,5384.615384615385,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.019241129839144156,0.029039191083922784,0.3999290014699174
18-Apr,Marathahalli,957.0,2.0,1.0,47.0,2,4911.180773249739,Budget,23500.0,282000.0,6.0,62.896602147200014,33.822557760000024,0.01264142230431771,0.026352317078058705,0.39704392655136717
Ready To Move,Hoskote,1740.0,3.0,3.0,60.0,3,3448.2758620689656,Mid-Range,30000.0,360000.0,6.0,80.29353465600002,33.82255776000003,0.027707226968367586,0.01804992201749398,0.40940436737402297
Ready To Move,Neeladri Nagar,1060.0,2.0,0.0,35.0,2,3301.8867924528304,Budget,17500.0,210000.0,6.0,46.83789521600001,33.822557760000024,0.014623258677749558,0.01721912305085391,0.4018863059863082
Ready To Move,other,975.0,2.0,2.0,50.0,2,5128.205128205128,Budget,25000.0,300000.0,6.0,66.91127888000001,33.822557760000024,0.012987762641422304,0.027583991070560063,0.39675906115662934
18-May,Ramamurthy Nagar,1150.0,2.0,2.0,51.0,2,4434.782608695652,Mid-Range,25500.0,306000.0,6.0,68.24950445760001,33.822557760000024,0.016354960363272532,0.023648624077900887,0.4003535265868032
Ready To Move,Whitefield,1738.0,2.0,3.0,79.0,3,4545.454545454545,Mid-Range,39500.0,474000.0,6.0,105.71982063040002,33.822557760000024,0.027668744708689293,0.02427671831291752,0.4068905595000466
18-May,Bommanahalli,1250.0,3.0,2.0,55.0,3,4400.0,Mid-Range,27500.0,330000.0,6.0,73.60240676800001,33.82255776000002,0.018279073347186946,0.023451223032609943,0.40158695479526824
Ready To Move,Bannerghatta Road,1788.0,3.0,2.0,90.0,3,5033.557046979866,Mid-Range,45000.0,540000.0,6.0,120.44030198400003,33.82255776000003,0.0286308012006465,0.02704683670321141,0.40635974603910335
19-Dec,Kanakapura,1151.0,2.0,1.0,59.0,2,5125.977410947003,Mid-Range,29500.0,354000.0,6.0,78.95530907840002,33.82255776000003,0.016374201493111674,0.027571348151243274,0.3987959816353697
Ready To Move,Uttarahalli,1300.0,2.0,2.0,60.0,3,4615.384615384615,Mid-Range,30000.0,360000.0,6.0,80.29353465600002,33.82255776000003,0.019241129839144156,0.024673591043834625,0.4016752414859527
Ready To Move,Garudachar Palya,1150.0,2.0,1.0,52.8,2,4591.304347826087,Mid-Range,26400.0,316800.0,6.0,70.65831049728001,33.82255776000003,0.016354960363272532,0.02453692878171013,0.39999820470527947
Ready To Move,other,1380.0,2.0,1.0,75.0,2,5434.782608695652,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.020780420226275687,0.029323904130015486,0.4007386904837592
19-Jun,Hebbal,1645.0,3.0,2.0,117.0,3,7112.462006079028,Premium,58500.0,702000.0,6.0,156.57239257920003,33.822557760000024,0.025879319633648885,0.038845204547829,0.3999895099610577
Ready To Move,Babusapalaya,1141.0,2.0,1.0,45.9,2,4022.787028921998,Budget,22950.0,275400.0,6.0,61.42455401184001,33.822557760000024,0.016181790194720234,0.02131043378245208,0.4011849006038513
Ready To Move,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2,7021.276595744681,Mid-Range,41250.0,495000.0,6.0,110.40361015200003,33.82255776000003,0.016835988609251135,0.038327701807514596,0.3947705124425449
Ready To Move,Banashankari Stage V,1355.0,2.0,1.0,61.0,3,4501.845018450184,Mid-Range,30500.0,366000.0,6.0,81.63176023360002,33.82255776000003,0.020299391980297083,0.02402922203422752,0.4025679463744873
Ready To Move,Dasarahalli,1150.0,2.0,0.0,70.0,2,6086.95652173913,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.016354960363272532,0.033025173729220654,0.3966029067262753
18-May,other,5800.0,5.0,,80.0,5,1379.3103448275863,Mid-Range,40000.0,480000.0,6.0,107.05804620800002,33.822557760000024,0.10582621411529285,0.0063079632889810125,0.4609725431535834
Ready To Move,other,1000.0,2.0,2.0,45.0,2,4500.0,Budget,22500.0,270000.0,6.0,60.220150992000015,33.82255776000003,0.013468790887400908,0.024018751037821404,0.39847377411731205
20-Jan,Balagere,1007.0,2.0,1.0,65.0,2,6454.816285998014,Mid-Range,32500.0,390000.0,6.0,86.98466254400002,33.822557760000024,0.013603478796274916,0.03511288091129468,0.3941169349132471
Ready To Move,other,3000.0,5.0,2.0,100.0,4,3333.3333333333335,Mid-Range,50000.0,600000.0,6.0,133.82255776000002,33.822557760000024,0.051951050565689216,0.017397590977021038,0.42421159394860514
Ready To Move,Kothanur,1436.0,3.0,3.0,70.0,3,4874.651810584958,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.02185792349726776,0.026145004984922837,0.40265675210439156
Ready To Move,Marathahalli,4000.0,4.0,3.0,220.0,4,5500.0,Luxury,110000.0,1320000.0,6.0,294.40962707200003,33.82255776000002,0.07119218040483337,0.029694031089936006,0.43083769580692566
Ready To Move,Somasundara Palya,2372.0,3.0,,140.0,3,5902.192242833053,Premium,70000.0,840000.0,6.0,187.35158086400003,33.822557760000024,0.039867621026706684,0.03197658470280166,0.41112993873490333
Ready To Move,Rajaji Nagar,1200.0,2.0,0.0,150.0,2,12500.0,Premium,75000.0,900000.0,6.0,200.73383664000005,33.82255776000003,0.01731701685522974,0.0694209914547382,0.3826218135312426
18-Mar,Rayasandra,1016.0,2.0,1.0,58.0,2,5708.6614173228345,Mid-Range,29000.0,348000.0,6.0,77.61708350080002,33.82255776000004,0.013776648964827214,0.030878243069314245,0.3959146921511707
Ready To Move,Dodda Nekkundi,1100.0,2.0,2.0,48.0,2,4363.636363636364,Budget,24000.0,288000.0,6.0,64.23482772480001,33.822557760000024,0.015392903871315325,0.02324484921253305,0.399937802637776
Ready To Move,other,1080.0,2.0,1.0,45.0,2,4166.666666666667,Budget,22500.0,270000.0,6.0,60.220150992000015,33.82255776000003,0.015008081274532441,0.022126991020449873,0.4001540523565395
Ready To Move,Electronic City,1070.0,2.0,1.0,60.0,2,5607.476635514019,Mid-Range,30000.0,360000.0,6.0,80.29353465600002,33.82255776000003,0.014815669976140998,0.030303991095537112,0.39676780554746977
Ready To Move,Kadubeesanahalli,1532.0,3.0,1.0,115.0,3,7506.527415143603,Premium,57500.0,690000.0,6.0,153.89594142400003,33.822557760000024,0.0237050719618256,0.041081636103121565,0.39779038873584677
Ready To Move,Hennur,1040.0,2.0,2.0,42.12,2,4050.0,Budget,21060.0,252720.0,6.0,56.36606132851201,33.82255776000003,0.014238436080966674,0.021464875014369833,0.3999571116428321
Ready To Move,other,3100.0,3.0,3.0,250.0,3,8064.5161290322585,Luxury,125000.0,1500000.0,6.0,334.55639440000004,33.82255776000002,0.05387516354960363,0.04424837832035893,0.4146257468016187
21-Jun,Tumkur Road,1137.5,2.0,0.0,48.905,2,4299.340659340659,Budget,24452.5,293430.0,6.0,65.44592187252802,33.82255776000003,0.01611444624028323,0.02287995308450698,0.40051668651036715
Ready To Move,Thanisandra,1430.0,2.0,2.0,51.6,3,3608.3916083916083,Mid-Range,25800.0,309600.0,6.0,69.05243980416002,33.822557760000024,0.021742476718232893,0.018958623718628317,0.40546203654348845
Ready To Move,Rajaji Nagar,1160.0,1.0,0.0,163.0,2,14051.724137931034,Premium,81500.0,978000.0,6.0,218.13076914880006,33.82255776000003,0.016547371661663972,0.07822746050112293,0.3786374387965492
Ready To Move,ITPL,3262.0,5.0,2.0,205.0,4,6284.488044144697,Luxury,102500.0,1230000.0,6.0,274.33624340800003,33.82255776000002,0.056992226583544976,0.0341462204379928,0.4205368477749299
Ready To Move,other,2100.0,7.0,0.0,410.0,7,19523.809523809523,Luxury,205000.0,2460000.0,6.0,548.6724868160001,33.82255776000002,0.03463403371045948,0.10928307753506694,0.3770671892122489
Ready To Move,other,1190.0,2.0,2.0,100.0,2,8403.361344537816,Mid-Range,50000.0,600000.0,6.0,133.82255776000002,33.822557760000024,0.0171246055568383,0.046171419812672095,0.39180619540903416
Ready To Move,other,1827.0,3.0,3.0,100.0,3,5473.453749315819,Mid-Range,50000.0,600000.0,6.0,133.82255776000002,33.822557760000024,0.029381205264373125,0.029543373682969637,0.405811373685436
Ready To Move,HRBR Layout,1210.0,2.0,1.0,75.0,2,6198.347107438017,Mid-Range,37500.0,450000.0,6.0,100.36691832000002,33.82255776000003,0.017509428153621182,0.03365734649823091,0.39704271829288035
Ready To Move,other,1500.0,3.0,3.0,95.0,3,6333.333333333333,Mid-Range,47500.0,570000.0,6.0,127.13142987200003,33.822557760000024,0.023089355806972987,0.03442343113336484,0.40008424103083784
Ready To Move,Rachenahalli,1050.0,2.0,2.0,53.5,2,5095.238095238095,Mid-Range,26750.0,321000.0,6.0,71.59506840160002,33.82255776000003,0.014430847379358118,0.027396893925984857,0.397699750857221
21-Mar,Hebbal,1251.0,2.0,1.0,88.73,2,7092.725819344524,Mid-Range,44365.0,532380.0,6.0,118.74075550044803,33.822557760000024,0.018298314477026092,0.03873319616094986,0.39548571022183576
Ready To Move,HSR Layout,1600.0,2.0,2.0,115.0,3,7187.5,Premium,57500.0,690000.0,6.0,153.89594142400003,33.822557760000024,0.0250134687908874,0.03927106617787939,0.39929965480338075
18-Apr,Electronic City,1128.0,2.0,1.0,65.5,2,5806.737588652482,Mid-Range,32750.0,393000.0,6.0,87.65377533280002,33.82255776000004,0.01593165550681136,0.03143485280804917,0.3969850521808672
Ready To Move,Budigere,1820.0,3.0,2.0,93.0,3,5109.89010989011,Mid-Range,46500.0,558000.0,6.0,124.45497871680003,33.82255776000003,0.029246517355499112,0.027480048212462724,0.40655589112831436
Ready To Move,Thigalarapalya,2072.0,4.0,2.0,159.0,3,7673.745173745174,Premium,79500.0,954000.0,6.0,212.77786683840003,33.82255776000002,0.034095282074963436,0.04203064371287237,0.40364491175982914
Ready To Move,Raja Rajeshwari Nagar,1510.0,2.0,3.0,59.0,3,3907.2847682119204,Mid-Range,29500.0,354000.0,6.0,78.95530907840002,33.82255776000003,0.023281767105364427,0.020654926106270035,0.40570708982071063
Ready To Move,Hoodi,1925.0,2.0,3.0,114.0,3,5922.077922077922,Premium,57000.0,684000.0,6.0,152.55771584640004,33.82255776000004,0.03126683598860925,0.03208944150154282,0.40592432499254844
Ready To Move,Hennur Road,2651.0,2.0,2.0,225.0,3,8487.36325914749,Luxury,112500.0,1350000.0,6.0,301.1007549600001,33.82255776000003,0.0452358962518279,0.04664815420299582,0.4084822760698984
Ready To Move,Thigalarapalya,2072.0,4.0,2.0,147.0,3,7094.594594594595,Premium,73500.0,882000.0,6.0,196.71915990720004,33.822557760000024,0.034095282074963436,0.038743801983848476,0.40495964845143867
